Gender,Education,Years_of_Professional_Experience,Region,Employment_Type,Area_of_Expertise,Annual_Salary,bonus
Male,Higher than Master's,10,Oslo,"in-house, privat sektor",app,950000.00,No
Male,Below Bachelor's,10,Oslo,"in-house, offentlig/kommunal sektor",app,969000.00,No
Male,Master's Degree,10,Oslo,konsulent,app,1000000.00,Yes
Female,Master's Degree,9,Oslo,"in-house, privat sektor",app,970000.00,No
Female,Below Bachelor's,9,Oslo,"in-house, privat sektor",app,1115000.00,No
Male,Below Bachelor's,9,Oslo,"in-house, privat sektor",app,1090000.00,Yes
Male,Below Bachelor's,9,Oslo,"in-house, privat sektor",app,1100000.00,No
Male,Below Bachelor's,8,Oslo,"in-house, privat sektor",app,840099.00,No
Male,Below Bachelor's,8,Oslo,"in-house, privat sektor",app,900000.00,Yes
Male,Higher than Master's,8,Oslo,"in-house, privat sektor",app,950000.00,Yes
Male,Below Bachelor's,8,Oslo,"in-house, offentlig/kommunal sektor",app,1050000.00,No
Female,Below Bachelor's,7,Oslo,"in-house, privat sektor",app,1100000.00,No
Male,Master's Degree,6,Oslo,"in-house, privat sektor",app,750000.00,Yes
Male,Higher than Master's,6,Oslo,"in-house, privat sektor",app,950000.00,Yes
Male,Higher than Master's,6,Oslo,"in-house, privat sektor",app,1015000.00,No
Female,Master's Degree,5,Oslo,"in-house, privat sektor",app,930318.00,Yes
Male,Below Bachelor's,5,Oslo,"in-house, offentlig/kommunal sektor",app,690000.00,No
Male,Below Bachelor's,5,Oslo,"in-house, privat sektor",app,800000.00,No
Female,Higher than Master's,4,Oslo,"in-house, privat sektor",app,758000.00,No
Male,Below Bachelor's,4,Oslo,"in-house, privat sektor",app,800000.00,No
Male,Below Bachelor's,4,Oslo,"in-house, privat sektor",app,835000.00,Yes
Male,Bachelor's Degree,4,Oslo,"in-house, privat sektor",app,875000.00,No
Male,Below Bachelor's,4,Oslo,konsulent,app,1750000.00,No
Female,Below Bachelor's,3,Oslo,"in-house, privat sektor",app,735000.00,No
Female,Below Bachelor's,3,Oslo,"in-house, privat sektor",app,770000.00,No
Male,Below Bachelor's,3,Oslo,"in-house, privat sektor",app,690000.00,No
Male,Below Bachelor's,3,Oslo,konsulent,app,700000.00,No
Male,Below Bachelor's,3,Oslo,"in-house, offentlig/kommunal sektor",app,700000.00,No
Male,Master's Degree,3,Oslo,konsulent,app,850000.00,No
Female,Below Bachelor's,2,Oslo,"in-house, offentlig/kommunal sektor",app,590000.00,No
Female,Bachelor's Degree,2,Oslo,"in-house, offentlig/kommunal sektor",app,625000.00,No
Male,No Education,2,Oslo,konsulent,app,510000.00,No
Male,Below Bachelor's,2,Oslo,"in-house, offentlig/kommunal sektor",app,680000.00,No
Female,Below Bachelor's,1,Oslo,"in-house, privat sektor",app,600000.00,No
Male,Master's Degree,1,Oslo,konsulent,app,630000.00,No
Male,Master's Degree,1,Oslo,konsulent,app,780000.00,No
Female,Master's Degree,0,Oslo,konsulent,app,630000.00,No
Male,Master's Degree,0,Oslo,konsulent,app,550000.00,No
Male,Below Bachelor's,0,Oslo,"in-house, offentlig/kommunal sektor",app,630000.00,No
Male,Higher than Master's,0,Oslo,"in-house, privat sektor",app,650000.00,No
Male,Below Bachelor's,20,Rogaland,konsulent,app,1050000.00,Yes
Male,Below Bachelor's,7,Rogaland,konsulent,app,780000.00,Yes
Male,Below Bachelor's,3,Rogaland,"in-house, privat sektor",app,750000.00,No
Male,Below Bachelor's,3,Troms og Finnmark,"in-house, privat sektor",app,735000.00,No
Male,Higher than Master's,18,Trøndelag,"in-house, privat sektor",app,1150000.00,Yes
Male,Below Bachelor's,14,Trøndelag,"in-house, privat sektor",app,770000.00,No
Male,Below Bachelor's,13,Trøndelag,"in-house, privat sektor",app,903000.00,No
Male,Higher than Master's,8,Trøndelag,"in-house, privat sektor",app,800000.00,No
Female,Master's Degree,5,Trøndelag,"in-house, offentlig/kommunal sektor",app,765000.00,No
Male,Below Bachelor's,4,Trøndelag,konsulent,app,680000.00,No
Female,Below Bachelor's,3,Trøndelag,"in-house, privat sektor",app,726000.00,No
Male,Master's Degree,1,utlandet,"in-house, offentlig/kommunal sektor",app,774201.00,Yes
Female,Below Bachelor's,5,Vestfold og Telemark,konsulent,app,680000.00,Yes
Male,Below Bachelor's,22,Vestland,"in-house, privat sektor",app,887000.00,No
Male,Below Bachelor's,20,Vestland,"in-house, privat sektor",app,720000.00,Yes
Male,Master's Degree,9,Vestland,konsulent,app,890000.00,No
Male,Master's Degree,6,Vestland,konsulent,app,860000.00,No
Male,Master's Degree,0,Vestland,konsulent,app,550000.00,Yes
Male,Master's Degree,0,Vestland,konsulent,app,625000.00,Yes
Male,Below Bachelor's,14,Viken,konsulent,app,880000.00,No
Male,Below Bachelor's,11,Viken,konsulent,app,1100000.00,No
Other,Below Bachelor's,3,Viken,"in-house, privat sektor",app,556000.00,No
Male,Master's Degree,20,Agder,"in-house, privat sektor",arkitektur,1200000.00,No
Other,Higher than Master's,30,Innlandet,"in-house, offentlig/kommunal sektor",arkitektur,950000.00,No
Male,Below Bachelor's,28,Innlandet,"in-house, privat sektor",arkitektur,1100000.00,No
Male,Higher than Master's,25,Innlandet,konsulent,arkitektur,1000000.00,No
Male,Bachelor's Degree,21,Innlandet,"in-house, offentlig/kommunal sektor",arkitektur,1000000.00,No
Male,Below Bachelor's,16,Innlandet,"in-house, offentlig/kommunal sektor",arkitektur,950000.00,No
Male,Below Bachelor's,34,Møre og Romsdal,"in-house, privat sektor",arkitektur,1200000.00,No
Male,Below Bachelor's,25,Møre og Romsdal,konsulent,arkitektur,775000.00,Yes
Male,Below Bachelor's,16,Møre og Romsdal,konsulent,arkitektur,900000.00,No
Male,Below Bachelor's,14,Møre og Romsdal,"in-house, privat sektor",arkitektur,1100000.00,No
Male,Master's Degree,14,Nordland,"in-house, privat sektor",arkitektur,1100000.00,Yes
Male,Master's Degree,44,Oslo,"in-house, privat sektor",arkitektur,980000.00,No
Male,Master's Degree,32,Oslo,konsulent,arkitektur,1300000.00,No
Male,Master's Degree,31,Oslo,konsulent,arkitektur,1250000.00,No
Male,Below Bachelor's,30,Oslo,konsulent,arkitektur,1100000.00,No
Male,Master's Degree,30,Oslo,"in-house, privat sektor",arkitektur,1265000.00,No
Male,Below Bachelor's,29,Oslo,"in-house, privat sektor",arkitektur,1000000.00,No
Male,Higher than Master's,27,Oslo,konsulent,arkitektur,1000000.00,Yes
Male,Below Bachelor's,26,Oslo,"in-house, privat sektor",arkitektur,1100000.00,No
Male,Below Bachelor's,26,Oslo,konsulent,arkitektur,1400000.00,No
Male,Bachelor's Degree,25,Oslo,"in-house, privat sektor",arkitektur,1005000.00,No
Male,Higher than Master's,25,Oslo,konsulent,arkitektur,1360000.00,Yes
Male,Master's Degree,25,Oslo,konsulent,arkitektur,1400000.00,Yes
Male,Master's Degree,24,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1138300.00,No
Male,Higher than Master's,22,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1230000.00,No
Male,Master's Degree,21,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1290000.00,Yes
Female,Master's Degree,20,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1030000.00,Yes
Male,Below Bachelor's,20,Oslo,"in-house, privat sektor",arkitektur,900000.00,No
Male,Bachelor's Degree,20,Oslo,konsulent,arkitektur,1000000.00,Yes
Male,Below Bachelor's,20,Oslo,"in-house, privat sektor",arkitektur,1050000.00,No
Male,No Education,20,Oslo,konsulent,arkitektur,1150000.00,Yes
Male,Master's Degree,20,Oslo,"in-house, privat sektor",arkitektur,1200000.00,No
Male,Below Bachelor's,20,Oslo,konsulent,arkitektur,1450000.00,Yes
Male,Below Bachelor's,20,Oslo,konsulent,arkitektur,1627000.00,No
Male,Higher than Master's,19,Oslo,"in-house, privat sektor",arkitektur,1350000.00,No
Male,Master's Degree,18,Oslo,konsulent,arkitektur,1250000.00,Yes
Male,Master's Degree,18,Oslo,"in-house, privat sektor",arkitektur,1300000.00,Yes
Male,Higher than Master's,18,Oslo,konsulent,arkitektur,1300000.00,Yes
Male,Master's Degree,17,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1000000.00,No
Male,Below Bachelor's,17,Oslo,konsulent,arkitektur,1000000.00,No
Female,Higher than Master's,16,Oslo,"in-house, privat sektor",arkitektur,1240000.00,Yes
Female,No Education,15,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,750000.00,No
Male,Below Bachelor's,15,Oslo,konsulent,arkitektur,1100000.00,Yes
Male,No Education,15,Oslo,konsulent,arkitektur,1250000.00,Yes
Male,No Education,14,Oslo,konsulent,arkitektur,1300000.00,No
Male,Below Bachelor's,13,Oslo,konsulent,arkitektur,1250000.00,Yes
Male,Below Bachelor's,13,Oslo,"in-house, privat sektor",arkitektur,1300000.00,No
Male,Master's Degree,12,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,1050000.00,No
Male,Master's Degree,12,Oslo,konsulent,arkitektur,1271000.00,No
Male,No Education,12,Oslo,konsulent,arkitektur,1900000.00,Yes
Female,No Education,10,Oslo,konsulent,arkitektur,940000.00,Yes
Female,Higher than Master's,10,Oslo,konsulent,arkitektur,1200000.00,Yes
Male,Higher than Master's,10,Oslo,konsulent,arkitektur,1467000.00,No
Male,No Education,10,Oslo,"in-house, privat sektor",arkitektur,1750000.00,Yes
Male,Below Bachelor's,9,Oslo,konsulent,arkitektur,1350000.00,Yes
Male,Below Bachelor's,8,Oslo,"in-house, offentlig/kommunal sektor",arkitektur,955000.00,No
Other,Below Bachelor's,7,Oslo,"in-house, privat sektor",arkitektur,1350000.00,No
Female,Master's Degree,6,Oslo,konsulent,arkitektur,1050000.00,Yes
Male,Master's Degree,6,Oslo,"in-house, privat sektor",arkitektur,1500000.00,No
Female,Below Bachelor's,5,Oslo,konsulent,arkitektur,1100000.00,Yes
Male,Master's Degree,5,Oslo,konsulent,arkitektur,880000.00,Yes
Male,Master's Degree,5,Oslo,konsulent,arkitektur,920501.00,No
Male,Master's Degree,5,Oslo,"in-house, privat sektor",arkitektur,970000.00,Yes
Male,Master's Degree,4,Oslo,konsulent,arkitektur,1000000.00,Yes
Male,Master's Degree,3,Oslo,"in-house, privat sektor",arkitektur,780000.00,Yes
Male,Master's Degree,2,Oslo,konsulent,arkitektur,650000.00,No
Male,Below Bachelor's,1,Oslo,konsulent,arkitektur,530000.00,No
Male,Master's Degree,1,Oslo,"in-house, privat sektor",arkitektur,750000.00,No
Male,Higher than Master's,30,Rogaland,konsulent,arkitektur,1600000.00,Yes
Male,Master's Degree,26,Rogaland,konsulent,arkitektur,990000.00,No
Female,Bachelor's Degree,24,Rogaland,"in-house, privat sektor",arkitektur,1090000.00,No
Male,Below Bachelor's,17,Rogaland,konsulent,arkitektur,1016000.00,No
Male,Master's Degree,16,Rogaland,"in-house, offentlig/kommunal sektor",arkitektur,1000000.00,No
Male,No Education,14,Rogaland,konsulent,arkitektur,980000.00,No
Male,Below Bachelor's,12,Rogaland,konsulent,arkitektur,1025000.00,Yes
Male,Higher than Master's,10,Rogaland,"in-house, privat sektor",arkitektur,2000000.00,No
Male,Below Bachelor's,7,Rogaland,"in-house, privat sektor",arkitektur,700000.00,No
Male,Bachelor's Degree,5,Rogaland,konsulent,arkitektur,950000.00,Yes
Male,No Education,28,Trøndelag,"in-house, privat sektor",arkitektur,1700000.00,Yes
Male,Higher than Master's,25,Trøndelag,"in-house, offentlig/kommunal sektor",arkitektur,1182000.00,No
Male,No Education,25,Trøndelag,"in-house, privat sektor",arkitektur,1200000.00,No
Male,Master's Degree,17,Trøndelag,konsulent,arkitektur,1350000.00,No
Male,Master's Degree,15,Trøndelag,"in-house, privat sektor",arkitektur,1000010.00,No
Male,Below Bachelor's,12,Trøndelag,"in-house, privat sektor",arkitektur,950000.00,No
Female,Higher than Master's,0,Trøndelag,konsulent,arkitektur,680000.00,No
Male,No Education,30,Vestfold og Telemark,"in-house, privat sektor",arkitektur,1350000.00,No
Male,No Education,18,Vestfold og Telemark,konsulent,arkitektur,1300000.00,No
Male,Below Bachelor's,15,Vestfold og Telemark,"in-house, privat sektor",arkitektur,1100000.00,No
Male,Below Bachelor's,12,Vestfold og Telemark,"in-house, privat sektor",arkitektur,862000.00,Yes
Male,Master's Degree,8,Vestfold og Telemark,konsulent,arkitektur,875000.00,Yes
Male,Below Bachelor's,6,Vestfold og Telemark,"in-house, privat sektor",arkitektur,1000000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,"in-house, privat sektor",arkitektur,845000.00,No
Male,Bachelor's Degree,21,Vestland,"in-house, privat sektor",arkitektur,1000000.00,No
Male,Below Bachelor's,20,Vestland,"in-house, privat sektor",arkitektur,845000.00,No
Male,Below Bachelor's,20,Vestland,"in-house, privat sektor",arkitektur,968000.00,No
Male,Bachelor's Degree,20,Vestland,"in-house, offentlig/kommunal sektor",arkitektur,1210000.00,No
Male,Master's Degree,20,Vestland,konsulent,arkitektur,1250000.00,Yes
Male,Master's Degree,18,Vestland,"in-house, privat sektor",arkitektur,1100000.00,Yes
Male,Higher than Master's,16,Vestland,"in-house, privat sektor",arkitektur,1250000.00,No
Male,Master's Degree,14,Vestland,"in-house, privat sektor",arkitektur,1040000.00,No
Male,Master's Degree,13,Vestland,"in-house, privat sektor",arkitektur,1071293.00,No
Male,Below Bachelor's,5,Vestland,"in-house, privat sektor",arkitektur,1300000.00,No
Male,Below Bachelor's,25,Viken,frilans / selvstendig næringsdrivende,arkitektur,2450000.00,No
Male,Below Bachelor's,23,Viken,"in-house, offentlig/kommunal sektor",arkitektur,950000.00,No
Male,Master's Degree,23,Viken,"in-house, privat sektor",arkitektur,1250000.00,Yes
Male,Master's Degree,17,Viken,frilans / selvstendig næringsdrivende,arkitektur,2500000.00,No
Male,Higher than Master's,15,Viken,konsulent,arkitektur,1100000.00,Yes
Male,Below Bachelor's,10,Viken,konsulent,arkitektur,1100000.00,Yes
Male,Below Bachelor's,7,Viken,"in-house, privat sektor",arkitektur,950000.00,No
Male,Master's Degree,7,Viken,"in-house, privat sektor",arkitektur,1000000.00,No
Female,Bachelor's Degree,4,Viken,konsulent,arkitektur,730000.00,Yes
Male,Below Bachelor's,3,Viken,konsulent,arkitektur,540000.00,Yes
Male,Below Bachelor's,3,Viken,"in-house, privat sektor",arkitektur,750000.00,No
Male,Bachelor's Degree,5,Innlandet,"in-house, privat sektor",automatisering,800000.00,Yes
Male,No Education,3,Innlandet,"in-house, offentlig/kommunal sektor",automatisering,664000.00,No
Male,Master's Degree,16,Møre og Romsdal,"in-house, privat sektor",automatisering,850000.00,No
Male,Higher than Master's,28,Oslo,"in-house, privat sektor",automatisering,1010000.00,Yes
Male,Bachelor's Degree,24,Oslo,konsulent,automatisering,800000.00,Yes
Female,Higher than Master's,20,Oslo,konsulent,automatisering,1800000.00,Yes
Male,No Education,16,Oslo,"in-house, privat sektor",automatisering,1100000.00,Yes
Male,Below Bachelor's,12,Oslo,konsulent,automatisering,1200000.00,Yes
Male,Below Bachelor's,11,Oslo,"in-house, privat sektor",automatisering,820000.00,No
Female,Bachelor's Degree,10,Oslo,"in-house, offentlig/kommunal sektor",automatisering,874000.00,No
Male,Higher than Master's,9,Oslo,konsulent,automatisering,1800000.00,Yes
Female,Below Bachelor's,8,Oslo,"in-house, privat sektor",automatisering,900000.00,No
Male,Bachelor's Degree,8,Oslo,"in-house, privat sektor",automatisering,950000.00,No
Male,Master's Degree,8,Oslo,konsulent,automatisering,1060000.00,No
Female,Master's Degree,5,Oslo,"in-house, privat sektor",automatisering,810000.00,No
Male,Below Bachelor's,4,Oslo,konsulent,automatisering,850000.00,No
Male,Master's Degree,4,Oslo,konsulent,automatisering,850000.00,Yes
Female,Below Bachelor's,2,Oslo,"in-house, privat sektor",automatisering,650000.00,Yes
Male,Below Bachelor's,2,Oslo,konsulent,automatisering,700000.00,Yes
Male,Master's Degree,2,Oslo,konsulent,automatisering,750000.00,Yes
Male,Below Bachelor's,30,Rogaland,konsulent,automatisering,1350000.00,Yes
Male,Below Bachelor's,22,Rogaland,"in-house, privat sektor",automatisering,1000000.00,No
Male,Below Bachelor's,15,Rogaland,"in-house, privat sektor",automatisering,820000.00,Yes
Male,Below Bachelor's,10,Rogaland,"in-house, privat sektor",automatisering,573000.00,Yes
Female,Below Bachelor's,0,Rogaland,"in-house, privat sektor",automatisering,620000.00,Yes
Male,Higher than Master's,19,Trøndelag,konsulent,automatisering,1030000.00,Yes
Male,Higher than Master's,3,Trøndelag,"in-house, offentlig/kommunal sektor",automatisering,614000.00,No
Male,Master's Degree,18,utlandet,"in-house, privat sektor",automatisering,1600000.00,Yes
Male,Below Bachelor's,4,Vestland,"in-house, privat sektor",automatisering,740000.00,Yes
Male,Below Bachelor's,0,Vestland,"in-house, privat sektor",automatisering,350000.00,No
Male,Below Bachelor's,4,Viken,"in-house, privat sektor",automatisering,800000.00,Yes
Female,Below Bachelor's,3,Viken,"in-house, privat sektor",automatisering,568000.00,No
Male,Higher than Master's,29,Agder,konsulent,backend,1040000.00,No
Male,Higher than Master's,26,Agder,"in-house, privat sektor",backend,1136000.00,No
Male,Bachelor's Degree,21,Agder,"in-house, offentlig/kommunal sektor",backend,950000.00,No
Male,Master's Degree,21,Agder,"in-house, privat sektor",backend,1200000.00,No
Male,Below Bachelor's,19,Agder,konsulent,backend,700000.00,No
Male,Master's Degree,19,Agder,"in-house, privat sektor",backend,1140000.00,No
Male,Bachelor's Degree,13,Agder,"in-house, privat sektor",backend,760000.00,No
Male,No Education,12,Agder,"in-house, privat sektor",backend,680000.00,No
Male,No Education,10,Agder,"in-house, offentlig/kommunal sektor",backend,890000.00,No
Male,Master's Degree,10,Agder,"in-house, privat sektor",backend,1006000.00,Yes
Male,Below Bachelor's,9,Agder,"in-house, offentlig/kommunal sektor",backend,870000.00,No
Male,Below Bachelor's,7,Agder,"in-house, offentlig/kommunal sektor",backend,670000.00,Yes
Male,Master's Degree,7,Agder,"in-house, privat sektor",backend,1000000.00,No
Male,Below Bachelor's,4,Agder,konsulent,backend,630000.00,No
Male,Below Bachelor's,4,Agder,konsulent,backend,730000.00,No
Female,Below Bachelor's,3,Agder,konsulent,backend,790000.00,Yes
Male,Master's Degree,3,Agder,"in-house, offentlig/kommunal sektor",backend,725900.00,No
Male,No Education,3,Agder,"in-house, privat sektor",backend,750000.00,No
Male,Below Bachelor's,3,Agder,konsulent,backend,766000.00,No
Male,Below Bachelor's,2,Agder,"in-house, privat sektor",backend,585000.00,No
Male,Below Bachelor's,2,Agder,"in-house, privat sektor",backend,600000.00,No
Male,Below Bachelor's,1,Agder,konsulent,backend,605000.00,Yes
Male,Higher than Master's,1,Agder,"in-house, privat sektor",backend,625000.00,No
Male,Higher than Master's,1,Agder,"in-house, privat sektor",backend,670000.00,No
Male,Below Bachelor's,1,Agder,"in-house, privat sektor",backend,680000.00,No
Male,Below Bachelor's,28,Innlandet,"in-house, privat sektor",backend,960000.00,No
Male,Higher than Master's,25,Innlandet,"in-house, privat sektor",backend,925000.00,No
Male,Master's Degree,23,Innlandet,"in-house, privat sektor",backend,843000.00,Yes
Male,Higher than Master's,17,Innlandet,"in-house, privat sektor",backend,865000.00,No
Male,Below Bachelor's,15,Innlandet,konsulent,backend,1600000.00,Yes
Male,Below Bachelor's,12,Innlandet,konsulent,backend,850000.00,Yes
Male,Below Bachelor's,12,Innlandet,konsulent,backend,920000.00,Yes
Male,Below Bachelor's,7,Innlandet,"in-house, privat sektor",backend,1100000.00,No
Male,Below Bachelor's,6,Innlandet,"in-house, privat sektor",backend,730000.00,No
Male,Bachelor's Degree,5,Innlandet,konsulent,backend,900000.00,Yes
Male,Below Bachelor's,4,Innlandet,konsulent,backend,700000.00,Yes
Male,Below Bachelor's,2,Innlandet,"in-house, privat sektor",backend,590000.00,No
Female,Below Bachelor's,1,Innlandet,"in-house, offentlig/kommunal sektor",backend,630000.00,No
